name,specified,radius,eccentricity,flattening,metre_factor,prime_merid,merid_value
USC80IGN,0,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,1 ,0.0  
USC80MOD,0,6378249.145 ,0.0824834000441851,293.465 ,1.0 ,1 ,0.0  
USC80RSA,0,6378249.145 ,0.0824832165826249,293.4663077 ,1.0 ,1 ,0.0  
USEV37AD,0,6377276.345 ,0.0814729809826527,300.8017 ,1.0 ,1 ,0.0  
USEV67 ,0,6377298.556 ,0.0814729809826527,300.8017 ,1.0 ,1 ,0.0  
USGRS67 ,0,6378160.0 ,0.0818205678859093,298.2471674 ,1.0 ,1 ,0.0  
USGRS80 ,0,6378137.0 ,0.0818191910429526,298.2572221 ,1.0 ,1 ,0.0  
USHAYF10,0,6378388.0 ,0.0819975042121698,296.9592625 ,1.0 ,1 ,0.0  
USHELM ,0,6378200.0 ,0.0818133340169312,298.3 ,1.0 ,1 ,0.0  
USINT24 ,0,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
USINT67 ,0,6378160.0 ,0.0818201799960599,298.25 ,1.0 ,1 ,0.0  
USKRAS40,0,6378245.0 ,0.0818133340169312,298.3 ,1.0 ,1 ,0.0  
USNWL10D,0,6378135.0 ,0.0818188106627489,298.26 ,1.0 ,1 ,0.0  
USNWL9D ,0,6378145.0 ,0.0818201799960598,298.25 ,1.0 ,1 ,0.0  
USSPHERE,0,6371000.0 ,0.0 ,1.0 ,1.0 ,1 ,0.0  
WGS72BE ,1,6378135.0 ,0.0818188106627489,298.26 ,1.0 ,1 ,0.0  
WGS72DOD,1,6378135.0 ,0.0818188106627489,298.26 ,1.0 ,1 ,0.0  
WGS84 ,1,6378137.0 ,0.0818191908375549,298.2572236 ,1.0 ,1 ,0.0  
XIAN80 ,1,6378137.0 ,0.0818191910429526,298.2572221 ,1.0 ,1 ,0.0  
YEMHSL ,1,6378388.0 ,0.0819918899790298,297.0 ,1.0 ,1 ,0.0  
YOFF2000,1,6378249.2 ,0.0824832567625238,293.4660213 ,1.0 ,1 ,0.0  
VENUS,0,6051920.0 ,0.0, 1.0, 1.0, 8,0.0
