proj_name,type,metre_factor,radius,eccentricity,flattening,prime_merid
LM2H6 ,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,1  
LM2IND76,lambert2,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM2IND77,lambert2,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM2IND78,lambert2,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM2IND96,lambert2,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM2IND97,lambert2,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM2IND98,lambert2,1.0 ,6377301.243 ,0.0814729774674291,300.801726 ,1  
LM2INDIA,lambert2,1.0 ,6377301.243 ,0.0814729775350297,300.8017255 ,1  
LM2IOWNF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2IOWNF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2IOWSF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2IOWSF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1 
LM2IRAN ,lambert2,1.0 ,6378249.145 ,0.0824834000441851,293.465 ,1  
LM2JEBCO,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,1  
LM2JUNGB,lambert2,1.0 ,6378245.0 ,0.0818133340169312,298.3 ,8 
LM2KALIM,lambert2,1.0 ,6377397.155 ,0.0816968312225275,299.1528128 ,8 
LM2KANNF,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2KANNF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2KANNM,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
L2KANSF83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2KYNFT,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2KYNFT83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2KYNM ,lambert2,1.0 ,6378137.0 ,0.0818191910429526,298.2572221 ,1  
LM2KYSFT,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
L2KYSFT83 ,lamcon2,0.30480061 ,20925391.87 ,0.0818191910429546,298.2572221 ,1
LM2LANDS,lambert2,1.0 ,6378388.0 ,0.0819918899790298,297.0 ,8 
LM2LANFT,lambert2,0.30480061 ,20925832.16 ,0.0822718542249391,294.9786982 ,1  
