usearea_id,area_name,country,description,mbr_tr_lat,mbr_tr_lon,mbr_bl_lat,mbr_bl_lon,angle_id,prime_merid
186,SE ASIA AND SOUTH CHINA ,WORLD,SE ASIA AND SOUTH CHINA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
187,CHINA/USSR/MONGOLIA ,WORLD,CHINA/USSR/MONGOLIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
188,AZERBAIJAN / CASPIAN SEA ,WORLD,AZERBAIJAN / CASPIAN SEA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
189,BLACK SEA AND ENVIRONS ,WORLD,BLACK SEA AND ENVIRONS ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
190,RUSSIAN SIDE EASTERN BLACK SEA,WORLD,RUSSIAN SIDE EASTERN BLACK SEA,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
191,USA CALIFORNIA CO'S N OF 040N ,WORLD,USA CALIFORNIA CO'S N OF 040N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
192,USA CALIF CO'S BET. 037/038-15,WORLD,USA CALIF CO'S BET. 037/038-15,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
193,UA SCALIF CO'S BET 035-30/037N,WORLD,UA SCALIF CO'S BET 035-30/037N,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
194,USA CALIF CO'S BET 34-35-50N ,WORLD,USA CALIF CO'S BET 34-35-50N ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
195,CANADA ,WORLD,CANADA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
196,EASTERN CANADA ,WORLD,EASTERN CANADA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
197,CHINA-RUSSIA BORDER - EAST ,WORLD,CHINA-RUSSIA BORDER - EAST ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
198,USA COLORADO BET 038-30/039-50,WORLD,USA COLORADO BET 038-30/039-50,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
199,USA COLORADO CO'S N OF 39D50MN,WORLD,USA COLORADO CO'S N OF 39D50MN,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
200,USA COLORADO CO'S S OF 38D30MN,WORLD,USA COLORADO CO'S S OF 38D30MN,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
201,COLUMBIA ,WORLD,COLUMBIA ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
202,USA CONNECTICUT (WHOLE STATE) ,WORLD,USA CONNECTICUT (WHOLE STATE) ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
203,E EUROPE RUSSIAN MAPS ,WORLD,E EUROPE RUSSIAN MAPS ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
204,FALKLANDS PLATEAU ,WORLD,FALKLANDS PLATEAU ,10.0 ,-18.0 ,0.5 ,-6.0 ,1,1 
