datum_name,description,spheroid_name,merid_id,origin_name,origin_lat,origin_long,angle_id,origin_height,height_id,usearea_id,ref_datum,source,visibility,release
PALEST23,PALESTINE 1923 ,CLA80BEN,1 ,JERUSALEM ,31.7340969 ,35.2120806 ,1 ,0.0 ,1 ,23,,PNM 17/4/89 REF JORDAN HUNT OIL CO 1988 ,SURVEY,PUBLIC 
POTSDAM ,POTSDAM ,BESS1841,1 ,POTSDAM(HELMERT TWR),52.3816539 ,13.0669869 ,1 ,0.0 ,1 ,1,,SJM 28/2/84 REF:GEODESY BY MAGNAVOX. USED ONSHORE FEDERAL REPUBLIC OF GERMANY,SURVEY,PUBLIC 
PRS92 ,PHILIPPINES REFERENCE SYSTEM 1992 ,CLA66MTR,1 ,BALANACAN ,13.5613889 ,121.8675 ,1 ,0.0 ,1 ,1,,RJL 8/4/83 REF: 80.0099 USED IN PHILLIPINES. ,SURVEY,PUBLIC
PSAD56 ,PSAD 1956 ,INT24 ,1 ,LA CANOA ,8.5714361000000001,-63.8596889 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. USED IN PARTS OF CARIBBEAN AND SOUTH AMERICA. ,SURVEY,PUBLIC 
PTNOIRE ,POINT NOIRE (ASTRO) ,CLA80IGN,1 ,POINT NOIRE (ASTRO) ,-4.7833611 ,11.8504306 ,1 ,0.0 ,1 ,24,,RAS - 1/6/89. INFO FROM DGL. ,SURVEY,PUBLIC 
PULKOVO ,PULKOVO 1942 ,KRAS1940,1 ,PULKOVO OBSERVATORY ,59.7718194 ,30.3283583 ,1 ,0.0 ,1 ,1,,SJM 28/2/84 REF:GEODESY BY MAGNAVOX ,SURVEY,PUBLIC 
QATAR ,QATAR ,INT24 ,1 ,STATION G3 ,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 30/1/85. REF: TRIG FILE ,SURVEY,PUBLIC 
QATAR51 ,QATAR GRID 1948 ,HELM1906,1 ,SOKEY 0 M ,25.3823611 ,50.7613889 ,1 ,0.0 ,1 ,25,,TCJ 28.6.88 TRIG.FILE ,SURVEY,PUBLIC 
QORNOQ ,QORNOQ ,INT24 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,26,,ELF TOPO CARTO ,SURVEY,PUBLIC 
RD ,RIJKDRIEHOEKSMETING ,BESS1841,1 ,AMERSFOORT ,52.1561606 ,5.3876328 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. USED ONSHORE NETHERLANDS. ,SURVEY,PUBLIC 
SAD69 ,SOUTH AMERICAN 1969 ,INT67 ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 22/3/83. USED IN PARTS OF SOUTH AMERICA. ,SURVEY,PUBLIC 
SPHERE ,NOT SPECIFIED ,SPHERE ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 2/2/84 ,SURVEY,PUBLIC 
SPHERE2 ,NOT SPECIFIED ,SPHERE ,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,1,,RJL 2/2/84 ,SURVEY,PUBLIC 
SUDAN ,SUDAN DATUM ,CLA80IGN,1 ,,0.0 ,0.0 ,1 ,0.0 ,1 ,28,,PNM 3 APRIL 1990 ELF TOPO CARTO ,SURVEY,PUBLIC 
TANANAR ,TANANARIVE 1925 ,INT24 ,1 ,TANANARIVE OBSERV. ,-18.91725 ,47.551875 ,1 ,0.0 ,1 ,1,,SJM 28/2/84 REF:GEODESY BY MAGNAVOX USED IN MADAGASCAR. ,SURVEY,PUBLIC 
TANANPAR,TANANARIVE 1925 ,INT24 ,6,TANANARIVE OBSERV. ,-18.91725 ,45.2146667 ,1 ,0.0 ,1 ,1,TANANAR ,RJL 28/2/84. USED IN MADAGASCAR. ,SURVEY,PUBLIC 
TIMBALAI,TIMBALAI ,EVERST67,1 ,TIMBALAI ,5.2843189 ,115.1823358 ,1 ,0.0 ,1 ,1,,RJL 11/1/83. USED IN EAST MALAYSIA. ,SURVEY,PUBLIC 
