proj_name,zone,hemisphere,
SUTMF32 ,32,S 
SUTMF33 ,33,S 
SUTMF34 ,34,S 
SUTMF35 ,35,S 
SUTMF36 ,36,S 
SUTMF37 ,37,S 
SUTMF38 ,38,S 
SUTMF39 ,39,S 
SUTMF40 ,40,S 
SUTMF41 ,41,S 
SUTMF42 ,42,S 
SUTMF43 ,43,S 
SUTMF44 ,44,S 
SUTMF45 ,45,S 
SUTMF46 ,46,S 
SUTMF47 ,47,S 
SUTMF48 ,48,S 
SUTMF49 ,49,S 
SUTMF50 ,50,S 
SUTMF51 ,51,S 
SUTMF52 ,52,S 
SUTMF53 ,53,S 
SUTMF54 ,54,S 
SUTMF55 ,55,S 
SUTMF56 ,56,S 
SUTMF57 ,57,S 
SUTMF58 ,58,S 
SUTMF59 ,59,S 
SUTMF60 ,60,S 
